scenario_id,family,expected_outcome,passed_runs,consistency,empty_passed,relevant_passed,misleading_passed,average_tool_calls,average_graph_steps,average_latency_ms,total_tokens,violation_codes
S2-E09,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,247.333,0,
S2-E10,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,235.0,0,
S2-E11,S2,ESCALATED,3,3/3,True,True,True,19.0,13.0,251.667,0,
S2-E12,S2,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,238.0,0,
S2-E13,S2,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,239.0,0,
S2-E14,S2,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,233.333,0,
S2-E15,S2,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,240.0,0,
S3-E01,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,262.0,0,
S3-E02,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,238.0,0,
S3-E03,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,257.333,0,
S3-E04,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,264.667,0,
S3-E05,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,296.0,0,
S3-E06,S3,CLARIFICATION_REQUIRED,3,3/3,True,True,True,15.0,10.0,233.667,0,
S3-E07,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,250.0,0,
S3-E08,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,225.667,0,
S3-E09,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,223.667,0,
S3-E10,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,240.333,0,
S3-E11,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,270.0,0,
S3-E12,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,215.667,0,
S3-E13,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,249.0,0,
S3-E14,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,233.667,0,
S3-E15,S3,RESOLVED,3,3/3,True,True,True,17.0,14.0,256.0,0,
S4-E01,S4,RESOLVED,3,3/3,True,True,True,21.0,14.0,236.333,0,
S4-E02,S4,RESOLVED,3,3/3,True,True,True,21.0,14.0,244.333,0,
S4-E03,S4,RESOLVED,3,3/3,True,True,True,21.0,14.0,230.667,0,
S4-E04,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,236.667,0,
S4-E05,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,223.667,0,
S4-E06,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,224.333,0,
S4-E07,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,248.667,0,
S4-E08,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,230.667,0,
S4-E09,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,239.0,0,
S4-E10,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,233.0,0,
S4-E11,S4,ESCALATED,3,3/3,True,True,True,19.0,12.0,233.667,0,
S4-E12,S4,PENDING_APPROVAL,3,3/3,True,True,True,19.0,11.0,244.667,0,
S4-E13,S4,PENDING_APPROVAL,3,3/3,True,True,True,19.0,11.0,238.0,0,
S4-E14,S4,PENDING_APPROVAL,3,3/3,True,True,True,19.0,11.0,251.333,0,
S4-E15,S4,PENDING_APPROVAL,3,3/3,True,True,True,19.0,11.0,210.0,0,
S5-E01,S5,RESOLVED,3,3/3,True,True,True,21.0,15.0,261.333,0,
S5-E02,S5,RESOLVED,3,3/3,True,True,True,21.0,15.0,225.333,0,
S5-E03,S5,RESOLVED,3,3/3,True,True,True,21.0,15.0,266.0,0,
S5-E04,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,229.0,0,
S5-E05,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,257.0,0,
S5-E06,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,223.0,0,
S5-E07,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,266.333,0,
S5-E08,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,231.333,0,
S5-E09,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,232.333,0,
S5-E10,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,245.333,0,
S5-E11,S5,ESCALATED,3,3/3,True,True,True,19.0,13.0,232.667,0,
S5-E12,S5,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,241.0,0,
S5-E13,S5,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,273.0,0,
S5-E14,S5,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,231.0,0,
S5-E15,S5,PENDING_APPROVAL,3,3/3,True,True,True,19.0,12.0,245.333,0,
S6-E01,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,232.667,0,
S6-E02,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,249.0,0,
S6-E03,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,267.333,0,
S6-E04,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,226.333,0,
S6-E05,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,247.667,0,
S6-E06,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,227.667,0,
S6-E07,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,245.333,0,
S6-E08,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,265.667,0,
S6-E09,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,226.333,0,
S6-E10,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,257.0,0,
S6-E11,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,269.333,0,
S6-E12,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,233.333,0,
S6-E13,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,272.0,0,
S6-E14,S6,CLARIFICATION_REQUIRED,3,3/3,True,True,True,17.0,10.0,270.333,0,
S6-E15,S6,ESCALATED,3,3/3,True,True,True,17.0,15.0,240.333,0,
S7-E01,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,347.333,0,
S7-E02,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,224.333,0,
S7-E03,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,259.0,0,
S7-E04,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,244.667,0,
S7-E05,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,259.333,0,
S7-E06,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,275.667,0,
S7-E07,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,273.0,0,
S7-E08,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,255.333,0,
S7-E09,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,278.333,0,
S7-E10,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,259.333,0,
S7-E11,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,261.667,0,
S7-E12,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,241.667,0,
S7-E13,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,280.333,0,
S7-E14,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,264.667,0,
S7-E15,S7,RESOLVED,3,3/3,True,True,True,18.0,23.0,293.0,0,
